metric,median_success,median_failure,max_success,max_failure,spearman_vs_success,spearman_p
saturation_ratio,0.0,0.02631578947368421,0.13333333333333333,0.09090909090909091,-0.10443476106942257,0.43945456285242684
late_readonly_fraction,0.0,0.02631578947368421,0.38461538461538464,0.3076923076923077,-0.020113853762739945,0.8819427292450429
novelty_drop,0.2857142857142857,0.09999999999999998,0.5714285714285714,0.375,0.19174082178915933,0.15305138012169286
error_shift,0.0,0.0,0.3333333333333333,0.125,-0.14703207126572054,0.27508834255683473
n_steps,10.0,11.5,23.0,22.0,-0.11120537665486742,0.410200763290332
saturation_ratio__vs_playbook,,,,,-0.016789543710615862,0.9013479925394124
late_readonly_fraction__vs_playbook,,,,,-0.004211530457069532,0.975196135227143
novelty_drop__vs_playbook,,,,,-0.3559024656386247,0.006586383950910771
error_shift__vs_playbook,,,,,-0.15126158324665914,0.26136248895786074
