saturation_ratio,redundant_ro_calls,total_ro_calls,late_readonly_fraction,loop_fraction,loop_steps,stagnation_fraction,stagnation_windows,total_stag_windows,novelty_drop,error_shift,n_steps_used,task_idx,task_id,n_steps,n_subtasks,n_errors,n_api_calls,n_readonly_calls,n_unique_api_fqs,distinct_apps,n_complete_task_calls,chars_assistant,chars_output,outcome,score,success_flag,playbook_bullets,playbook_tokens,generate_s
0.3181818181818182,14,44,0.4090909090909091,0.0,0,0.0,0,42,0.6060606060606061,0.0,46,24,3ab5b8b_1,46,4,0,55,44,19,5,4,18099,32182,success,1.0,1,50,4627,26.457878306508064
0.2702702702702703,10,37,0.2972972972972973,0.0,0,0.021739130434782608,1,46,0.5416666666666667,0.0,50,25,3ab5b8b_2,50,4,0,48,37,19,5,4,16847,37082,failure,0.6666666666666666,0,51,4724,28.08458235859871
0.2564102564102564,10,39,0.3333333333333333,0.0,0,0.0,0,44,0.5357142857142857,0.041666666666666664,48,26,3ab5b8b_3,48,4,1,51,39,20,5,4,18003,29295,success,1.0,1,55,5194,36.10710418224335
0.18604651162790697,8,43,0.3953488372093023,0.0,0,0.0,0,54,0.5769230769230769,0.0,58,27,df61dc5_1,58,4,0,54,43,23,6,4,17241,50392,failure,0.8571428571428571,0,58,5454,41.60422810167074
0.25,9,36,0.2777777777777778,0.0,0,0.0,0,40,0.5555555555555556,0.0,44,28,df61dc5_2,44,4,0,48,36,19,6,4,17263,37452,failure,0.8571428571428571,0,60,5665,19.38388878107071
0.24444444444444444,11,45,0.4222222222222222,0.0,0,0.0,0,45,0.5882352941176471,0.0,49,29,df61dc5_3,49,4,0,57,45,20,6,4,18480,55484,failure,0.8571428571428571,0,63,6150,30.105557970702648
0.21212121212121213,7,33,0.21212121212121213,0.0,0,0.0,0,43,0.5714285714285714,0.0,47,30,383cbac_1,47,4,0,43,33,18,6,4,15543,42175,success,1.0,1,65,6406,35.01553642004728
0.22857142857142856,8,35,0.2571428571428571,0.0,0,0.0,0,45,0.5454545454545454,0.0,49,31,383cbac_2,49,4,0,45,35,18,6,4,16194,37738,success,1.0,1,66,6508,22.825289092957973
0.20588235294117646,7,34,0.23529411764705882,0.0,0,0.0,0,42,0.5454545454545454,0.0,46,32,383cbac_3,46,4,0,44,34,18,6,4,15686,23013,failure,0.5,0,69,7142,46.875653833150864
0.20588235294117646,7,34,0.23529411764705882,0.0,0,0.0,0,42,0.5454545454545454,0.0,46,33,23cf851_1,46,4,0,44,34,18,6,4,15698,24448,success,1.0,1,72,7666,21.956988617777824
0.2,7,35,0.2571428571428571,0.0,0,0.0,0,39,0.6,0.0,43,34,23cf851_2,43,4,0,45,35,19,6,4,15697,26229,failure,0.5,0,73,7775,13.927234224975109
0.21875,7,32,0.1875,0.0,0,0.0,0,39,0.5909090909090908,0.0,43,35,23cf851_3,43,4,0,42,32,18,6,4,15830,17719,success,1.0,1,74,7880,13.884589731693268
0.25,10,40,0.35,0.0,0,0.020833333333333332,1,48,0.5769230769230769,0.0,52,36,57c3486_1,52,4,0,51,40,20,5,4,17422,30836,success,1.0,1,78,8367,34.87438954412937
0.23684210526315788,9,38,0.3157894736842105,0.0,0,0.0,0,41,0.5714285714285714,0.0,45,37,57c3486_2,45,4,0,49,38,20,5,4,17394,22842,success,1.0,1,82,9094,29.936503380537033
0.23076923076923078,9,39,0.3333333333333333,0.0,0,0.0,0,40,0.5517241379310345,0.0,44,38,57c3486_3,44,4,0,50,39,20,5,4,17973,20745,success,1.0,1,83,9258,23.811527907848358
0.21951219512195122,9,41,0.36585365853658536,0.0,0,0.0,0,45,0.5,0.0,49,39,68ee2c9_1,49,4,0,53,41,21,6,4,18438,31318,success,1.0,1,88,10077,36.16557874530554
0.20512820512820512,8,39,0.3333333333333333,0.0,0,0.0,0,39,0.5483870967741935,0.0,43,40,68ee2c9_2,43,4,0,51,39,21,6,4,18531,23914,success,1.0,1,89,10198,24.971262894570827
0.20512820512820512,8,39,0.3333333333333333,0.0,0,0.0,0,41,0.5333333333333333,0.0,45,41,68ee2c9_3,45,4,0,51,39,21,6,4,18448,23753,success,1.0,1,90,10303,25.521149896085262
0.23529411764705882,8,34,0.23529411764705882,0.0,0,0.0,0,37,0.64,0.0,41,42,6bdbc26_1,41,4,0,44,34,18,5,4,15312,13957,success,1.0,1,91,10439,9.497898139059544
0.23529411764705882,8,34,0.23529411764705882,0.0,0,0.0,0,38,0.625,0.0,42,43,6bdbc26_2,42,4,0,44,34,18,5,4,15358,14515,success,1.0,1,91,10439,10.352267652750015
0.2571428571428571,9,35,0.2571428571428571,0.0,0,0.0,0,38,0.64,0.0,42,44,6bdbc26_3,42,4,0,45,35,18,5,4,15400,23076,success,1.0,1,91,10439,10.073046118021011
0.30952380952380953,13,42,0.38095238095238093,0.0,0,0.0,0,43,0.6875,0.0,47,45,6171bbc_1,47,4,0,54,42,19,5,4,17599,30633,success,1.0,1,93,11038,24.494593061506748
